"firstname";"sex";"spread";"med";"count";"position";"year"
"Árpárd";"m";0;1;1;1;2015
"Łucja";"w";0;1;1;1;2014
"Łukasz";"m";0;1;1;1;2012
"Đulbeara";"w";0;1;1;1;2016
"Đulija";"w";0;1;1;1;2011
"Žaksylykovna";"w";0;2;2;1;2010
"Žan";"m";0;1;1;1;2017
"Žarko";"m";0;1;1;1;2017
"Željan";"m";0;1;1;1;2013
"þóra";"w";0;1;1;1;2010
"Aïcha";"w";0;1;1;1;2013
"Aïcha";"w";0;1;1;1;2016
"Aïda";"w";0;1;1;1;2012
"Aïssata";"w";0;1;1;1;2016
"Aëla";"w";0;1;1;1;2016
"Açelya";"w";1;2;1;1;2010
"Açelya";"w";1;2;4;1;2012
"Açelya";"w";1;2;1;1;2013
"Açelya";"w";1;2;2;1;2015
"Açelya";"w";1;2;2;1;2018
"Aabid";"m";0;1;1;1;2012
"Aabish";"w";0;1;1;1;2013
"Aada";"w";0;1;1;1;2011
"Aadhav";"m";0;1;1;1;2018
"Aadhira";"w";0;1;1;1;2018
"Aadhrit";"m";0;1;1;1;2016
"Aadi";"m";0;1;1;1;2014
"Aahana";"w";0;1;1;1;2015
"Aahil";"m";0;1;1;1;2016
"Aahil";"m";0;1;1;1;2017
"Aahil";"m";0;1;1;1;2018
"Aairah";"w";0;1;1;1;2016
"Aalan";"m";0;1;1;1;2011
"Aalbin";"m";0;1;1;1;2015
"Aaleyah";"w";0;1;1;1;2018
"Aalijah";"w";0;1;1;1;2018
"Aalim";"m";0;1;1;1;2018
"Aalisa";"w";0;1;1;1;2010
"Aaliya";"w";1;1.5;1;1;2011
"Aaliya";"w";1;1.5;1;1;2014
"Aaliya";"w";1;1.5;2;1;2016
"Aaliya";"w";1;1.5;2;1;2017
"Aaliyah";"m";0;1;1;1;2017
"Aaliyah";"w";3;5;5;1;2010
"Aaliyah";"w";3;5;4;1;2011
"Aaliyah";"w";3;5;7;1;2012
"Aaliyah";"w";3;5;5;1;2013
"Aaliyah";"w";3;5;5;1;2014
"Aaliyah";"w";3;5;4;1;2015
"Aaliyah";"w";3;5;7;1;2016
"Aaliyah";"w";3;5;3;1;2017
"Aaliyah";"w";3;5;11;1;2018
"Aaliyah-Jasmina";"w";0;1;1;1;2015
"Aaliyah-Mael";"w";0;1;1;1;2012
"Aaliyah-Maria";"w";0;1;1;1;2011
"Aaliyah-Yasmin";"w";0;1;1;1;2010
"Aaliyha";"w";0;1;1;1;2015
"Aalya";"w";0;1;1;1;2013
"Aamna";"w";0;1;1;1;2018
"Aarón";"m";0;1;1;1;2016
"Aarón";"m";0;1;1;1;2018
"Aaradhya";"w";0;1;1;1;2014
"Aarav";"m";0;1;1;1;2010
"Aarav";"m";0;1;1;1;2011
"Aarav";"m";0;1;1;1;2015
"Aarav";"m";0;1;2;1;2016
"Aarav";"m";0;1;1;1;2017
"Aari";"m";0;1;1;1;2016
"Aarin";"m";0;1;1;1;2018
"Aariya";"w";0;1;1;1;2014
"Aariz";"m";0;1;1;1;2015
"Aarna";"w";0;1;1;1;2012
"Aarnav";"m";0;1;1;1;2014
"Aarne";"m";0;1;1;1;2015
"Aaro";"m";0;1;1;1;2015
"Aaro";"m";0;1;1;1;2016
"Aarom";"m";0;1;1;1;2017
"Aaron";"m";6;26;26;1;2010
"Aaron";"m";6;26;30;1;2011
"Aaron";"m";6;26;28;1;2012
"Aaron";"m";6;26;24;1;2013
"Aaron";"m";6;26;27;1;2014
"Aaron";"m";6;26;16;1;2015
"Aaron";"m";6;26;26;1;2016
"Aaron";"m";6;26;21;1;2017
"Aaron";"m";6;26;18;1;2018
"Aaron";"w";0;1;1;1;2011
"Aaron-Benedict";"m";0;1;1;1;2015
"Aaron-James";"m";0;1;1;1;2011
"Aaron-Jayden";"m";0;1;1;1;2014
"Aaron-Kodzo";"m";0;1;1;1;2010
"Aaronsson";"m";0;1;1;1;2011
"Aaros";"m";0;1;1;1;2015
"Aart";"m";0;1;1;1;2014
"Aarun";"m";0;1;1;1;2014
"Aarvi";"w";0;1;1;1;2014
"Aarvi";"w";0;1;1;1;2016
"Aastha";"w";0;1;1;1;2014
"Aatos";"m";0;1;1;1;2012
"Aava";"w";0;1;1;1;2011
"Aaya";"w";0;1;1;1;2015
"Aşır";"m";0;1;1;1;2015
"Aayan";"m";0;1;1;1;2018
"Aşina";"w";0;1;1;1;2014
"Aşkhan";"m";0;1;1;1;2010
"Aaysha";"w";0;1;1;1;2010
"Aba";"w";0;1;1;1;2015
"Abai";"m";0;1;1;1;2015
"Abas";"m";0;1;1;1;2015
"Abass";"m";0;1;1;1;2012
"Abayomi";"m";0;1;1;1;2016
"Abbas";"m";0.25;1;1;1;2010
"Abbas";"m";0.25;1;2;1;2011
"Abbas";"m";0.25;1;1;1;2012
"Abbas";"m";0.25;1;1;1;2013
"Abby";"w";0;1;1;1;2011
"Abby";"w";0;1;1;1;2012
"Abby";"w";0;1;2;1;2014
"Abby";"w";0;1;1;1;2017
"Abby";"w";0;1;1;1;2018
"Abby-Lou";"w";0;1;1;1;2017
"Abbygail";"w";0;1;1;1;2011
"Abbygail";"w";0;1;1;1;2012
"Abbygale";"w";0;1;1;1;2010
"Abbygale";"w";0;1;1;1;2015
"Abbygale";"w";0;1;1;1;2017
"Abd";"m";0.5;1;2;1;2013
"Abd";"m";0.5;1;1;1;2015
"Abd";"m";0.5;1;1;1;2017
"Abdülhakim";"m";0;1;1;1;2011
"Abdülhamid";"m";0.5;1.5;1;1;2015
"Abdülhamid";"m";0.5;1.5;2;1;2018
"Abdüllatif";"m";0;1;1;1;2013
"Abdülmelik";"m";0;1;1;1;2010
"Abdalkarim";"m";0;1;1;1;2013
"Abdalkerim";"m";0;1;1;1;2018
"Abdallah";"m";0.5;1;1;1;2011
"Abdallah";"m";0.5;1;1;1;2015
"Abdallah";"m";0.5;1;2;1;2017
"Abdalrahman";"m";0;1;1;1;2018
"Abdalraouf";"m";0;1;1;1;2014
"Abde";"m";0;1;1;1;2011
"Abde";"m";0;1;1;1;2014
"Abdel";"m";0;1;1;1;2010
"Abdel";"m";0;1;1;1;2011
"Abdel";"m";0;1;1;1;2012
"Abdel";"m";0;1;1;1;2013
"Abdel";"m";0;1;2;1;2014
"Abdel";"m";0;1;1;1;2017
"Abdel-Kader";"m";0;1;1;1;2011
"Abdel-Samad";"m";0;1;1;1;2014
"Abdelaziz";"m";0;2;2;1;2010
"Abdelgadir";"w";0;1;1;1;2010
"Abdelhak";"m";0;1;1;1;2015
"Abdelhakim";"m";0;1;1;1;2010
"Abdelhalim";"m";0;1;1;1;2014
"Abdelilah";"m";0;1;1;1;2018
"Abdeljalil";"m";0;1;1;1;2013
"Abdelkarim";"m";0.5;1.5;2;1;2016
"Abdelkarim";"m";0.5;1.5;1;1;2018
"Abdellah";"m";0;2;2;1;2010
"Abdellatif";"m";0;2;2;1;2011
"Abdelmessiah";"m";0;1;1;1;2016
"Abdelmoumene";"m";0;1;1;1;2013
"Abdelouahed";"m";0;1;1;1;2015
"Abdeloulaye";"m";0;1;1;1;2012
"Abdelrahman";"m";0;1;1;1;2010
"Abdelrahman";"m";0;1;1;1;2012
"Abdelrahman";"m";0;1;1;1;2014
"Abdelsalam";"w";0;1;1;1;2013
"Abderahman";"m";0;1;1;1;2010
"Abderahman";"m";0;1;1;1;2017
"Abderrahman";"m";0;1;1;1;2010
"Abderrahman";"m";0;1;1;1;2012
"Abderrahman";"m";0;1;1;1;2013
"Abderrahman";"m";0;1;1;1;2014
"Abderrahman";"m";0;1;2;1;2016
"Abderrahmane";"m";0;1;1;1;2016
"Abdesalam";"m";0;1;1;1;2014
"Abdeslam";"m";0;1;1;1;2013
"Abdessalam";"m";0;1;1;1;2013
"Abdessamad";"m";0;1;1;1;2011
"Abdi";"m";0;1;1;1;2016
"Abdil";"m";0;1;1;1;2010
"Abdin";"m";0;1;1;1;2016
"Abdirazaq";"m";0;1;1;1;2016
"Abdl";"m";0;1;1;1;2012
"Abdo";"m";0;1;1;1;2013
"Abdo";"m";0;1;1;1;2015
"Abdo";"m";0;1;1;1;2016
"Abdoalrahman";"m";0;1;1;1;2011
"Abdou";"m";0;1;1;1;2013
"Abdou";"m";0;1;1;1;2017
"Abdoul";"m";0;1;1;1;2010
"Abdoul";"m";0;1;1;1;2012
"Abdoul";"m";0;1;1;1;2016
"Abdoul";"m";0;1;1;1;2018
"Abdoulah";"m";0;1;1;1;2010
"Abdoulaye";"m";0;1;1;1;2012
